Ativo;Horizonte;Regime;HitRate;Operacoes;ProfitFactor;PF_Folds_Mean;PF_Folds_Std;N_Folds;Instavel;Retorno_pct;MaxDrawdown;Sharpe;Capital_Final;Score;Valido;Selic_Focus;IPCA_Focus
VIVT3;D14;HighVol;83.95;81;31.98;;;1;True;31.77;-0.77;11.286;131767.58;94.747;True;13.25;5.1
VALE3;D14;HighVol;73.85;130;11.83;109.785;152.373;3;True;121.81;-7.5;11.143;221807.95;82.287;True;13.25;5.1
ABEV3;D60;LowVol;53.27;214;30.559;51.243;68.588;4;True;180.77;-5.84;6.149;280767.43;32.756;True;13.25;5.1
VALE3;D28;HighVol;84.48;58;2.612;;;1;True;7.12;-3.96;6.207;107118.51;13.697;True;13.25;5.1
BBAS3;D60;LowVol;46.12;232;4.903;9.702;15.588;4;True;223.74;-33.68;5.539;323737.91;12.525;True;13.25;5.1
SUZB3;D60;LowVol;59.38;384;2.758;20.049;33.43;7;True;1044.35;-48.53;5.793;1144351.17;9.486;True;13.25;5.1
VALE3;D28;LowVol;59.48;385;2.61;3.478;3.626;6;True;405.3;-18.21;5.518;505297.11;8.566;True;13.25;5.1
ITUB4;D28;LowVol;46.34;287;2.994;2.454;2.352;5;False;163.52;-17.34;4.166;263521.13;5.78;True;13.25;5.1
BBAS3;D5;HighVol;62.5;64;2.203;;;1;True;2.16;-0.89;3.522;102156.3;4.849;True;13.25;5.1
PETR4;D60;LowVol;51.44;313;2.13;1.257;0.315;5;False;1631.99;-18.25;4.256;1731993.09;4.663;True;13.25;5.1
ITUB4;D14;LowVol;60.44;766;2.206;21.869;66.696;15;True;324.5;-37.34;3.487;424500.47;4.65;True;13.25;5.1
BBAS3;D14;LowVol;58.37;615;2.009;45.468;134.738;11;True;252.77;-30.66;3.963;352774.98;4.648;True;13.25;5.1
PETR4;D28;LowVol;59.07;706;2.041;11.945;22.411;13;True;;-41.77;3.439;;4.146;True;13.25;5.1
PETR4;D14;LowVol;61.0;700;1.74;4.137;4.935;13;True;1937.43;-32.12;3.024;2037429.63;3.21;True;13.25;5.1
BBAS3;D28;LowVol;48.98;488;2.053;5.319;6.794;9;True;718.3;-32.76;3.041;818297.0;3.058;True;13.25;5.1
GGBR4;D60;LowVol;51.26;515;1.724;3.419;3.389;10;False;1339.54;-56.39;3.087;1439542.29;2.728;True;13.25;5.1
MGLU3;D60;LowVol;45.61;228;1.882;0.213;0.102;3;False;620.68;-43.84;2.906;720677.31;2.495;True;13.25;5.1
PETR4;D5;LowVol;56.14;611;1.463;1.888;1.335;12;False;96.86;-15.14;2.361;196860.95;1.939;True;13.25;5.1
MGLU3;D14;LowVol;57.57;469;1.536;10.069;24.574;9;True;325.34;-32.31;2.185;425335.77;1.932;True;13.25;5.1
MGLU3;D14;HighVol;60.94;256;1.408;5.402;7.157;4;True;402.35;-65.2;1.995;502352.88;1.712;True;13.25;5.1
LREN3;D60;LowVol;43.99;366;1.502;7.939;13.748;7;True;;-64.2;2.003;;1.323;True;13.25;5.1
MGLU3;D28;LowVol;49.36;549;1.262;8.503;15.989;9;True;;-63.38;1.193;;0.743;True;13.25;5.1
