Ativo;Horizonte;Regime;HitRate;Operacoes;ProfitFactor;PF_Folds_Mean;PF_Folds_Std;N_Folds;Instavel;Retorno_pct;MaxDrawdown;Sharpe;Capital_Final;Score;Valido;Selic_Focus;IPCA_Focus
PETR4;D5;LowVol;56.14;611;1.463;1.888;1.335;12;False;96.86;-15.14;2.361;196860.95;1.939;True;13.25;5.1
PETR4;D5;HighVol;33.33;6;;;;0;True;-0.23;-0.28;-9.044;99765.07;0.0;False;13.25;5.1
PETR4;D14;LowVol;61.0;700;1.74;4.137;4.935;13;True;1937.43;-32.12;3.024;2037429.63;3.21;True;13.25;5.1
PETR4;D14;HighVol;52.38;21;;;;0;True;-0.16;-0.54;-1.929;99841.38;0.0;False;13.25;5.1
PETR4;D28;LowVol;59.07;706;2.041;11.945;22.411;13;True;;-41.77;3.439;;4.146;True;13.25;5.1
PETR4;D28;HighVol;95.24;21;;;;0;True;2.42;-0.02;24.529;102423.87;0.0;False;13.25;5.1
PETR4;D60;LowVol;51.44;313;2.13;1.257;0.315;5;False;1631.99;-18.25;4.256;1731993.09;4.663;True;13.25;5.1
PETR4;D60;HighVol;;0;;;;0;True;;;;;0.0;False;13.25;5.1
VALE3;D5;LowVol;47.27;567;0.714;1.511;1.426;10;False;-12.59;-13.14;-1.398;87414.12;0.0;True;13.25;5.1
VALE3;D5;HighVol;52.94;34;0.889;;;1;True;-0.16;-0.7;-0.83;99836.63;0.0;True;13.25;5.1
VALE3;D14;LowVol;51.26;597;1.074;2.496;3.711;11;True;12.61;-26.45;0.458;112612.65;0.252;True;13.25;5.1
VALE3;D14;HighVol;73.85;130;11.83;109.785;152.373;3;True;121.81;-7.5;11.143;221807.95;82.287;True;13.25;5.1
VALE3;D28;LowVol;59.48;385;2.61;3.478;3.626;6;True;405.3;-18.21;5.518;505297.11;8.566;True;13.25;5.1
VALE3;D28;HighVol;84.48;58;2.612;;;1;True;7.12;-3.96;6.207;107118.51;13.697;True;13.25;5.1
VALE3;D60;LowVol;37.12;264;0.805;1.297;2.111;5;True;-15.58;-33.43;-1.167;84419.79;0.0;True;13.25;5.1
VALE3;D60;HighVol;31.82;22;;;;0;True;0.37;-1.88;0.871;100369.7;0.0;False;13.25;5.1
